State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Haryana,November,2011,308,17.53,17.86,22.73,25.97,14.94,0.97
Himachal Pradesh,November,2011,78,20.51,34.62,30.77,8.97,5.13,0.00
Jammu & Kashmir,November,2011,130,30.00,43.85,14.62,6.92,4.62,0.00
Jharkhand,November,2011,167,10.78,57.49,29.94,1.80,0.00,0.00
Karnataka,November,2011,873,18.67,36.77,30.58,13.63,0.34,0.00
Kerala,November,2011,646,24.15,32.82,32.97,9.13,0.93,0.00
Madhya Pradesh,November,2011,868,10.60,44.59,32.49,9.68,2.42,0.23
Maharashtra,November,2011,1036,16.51,48.46,28.47,5.98,0.58,0.00
Manipur,November,2011,1,0.00,100.00,0.00,0.00,0.00,0.00
Meghalaya,November,2011,27,33.33,66.67,0.00,0.00,0.00,0.00
Odisha,November,2011,889,29.58,56.24,13.72,0.45,0.00,0.00
Pondicherry,November,2011,7,71.43,28.57,0.00,0.00,0.00,0.00
Punjab,November,2011,189,5.82,20.11,20.11,34.39,19.58,0.00
Rajasthan,November,2011,850,9.76,17.06,19.06,18.12,17.76,18.24
Tamil Nadu,November,2011,888,30.29,31.76,22.41,10.92,4.28,0.34
Tripura,November,2011,22,13.64,77.27,9.09,0.00,0.00,0.00
Uttar Pradesh,November,2011,802,16.33,44.89,22.07,14.21,2.49,0.00
Uttaranchal,November,2011,47,21.28,38.30,23.40,17.02,0.00,0.00
West Bengal,November,2011,786,18.58,53.31,17.30,9.92,0.89,0.00
Andhra Pradesh,January,2012,701,17.97,36.66,31.81,12.70,0.71,0.14
Arunachal Pradesh,January,2012,8,12.50,62.50,12.50,12.50,0.00,0.00
Assam,January,2012,206,17.48,64.08,17.48,0.97,0.00,0.00
Bihar,January,2012,263,11.79,63.50,24.33,0.38,0.00,0.00
Chandigarh,January,2012,16,0.00,12.50,12.50,43.75,18.75,12.50
Chhattisgarh,January,2012,349,14.90,49.00,30.37,5.44,0.29,0.00
Dadar-Nagar-Haveli,January,2012,6,0.00,50.00,33.33,16.67,0.00,0.00
Delhi,January,2012,132,10.61,24.24,22.73,23.48,10.61,8.33
Goa,January,2012,35,11.43,54.29,25.71,8.57,0.00,0.00
Gujarat,January,2012,756,8.86,29.37,35.45,17.46,8.33,0.53
Haryana,January,2012,170,10.00,11.76,18.82,31.76,25.29,2.35
Himachal Pradesh,January,2012,74,16.22,32.43,31.08,16.22,4.05,0.00
Jammu & Kashmir,January,2012,132,18.18,50.00,18.94,7.58,5.30,0.00
Jharkhand,January,2012,181,3.31,46.41,48.62,1.66,0.00,0.00
Karnataka,January,2012,889,10.01,32.06,38.92,18.79,0.22,0.00
Kerala,January,2012,679,13.84,31.22,40.35,12.81,1.77,0.00
Madhya Pradesh,January,2012,935,3.53,31.76,44.17,17.86,2.57,0.11
Maharashtra,January,2012,1070,6.82,38.32,43.27,9.91,1.50,0.19
Manipur,January,2012,2,0.00,50.00,50.00,0.00,0.00,0.00
Meghalaya,January,2012,29,20.69,65.52,13.79,0.00,0.00,0.00
Odisha,January,2012,865,13.29,53.99,31.68,1.04,0.00,0.00
Pondicherry,January,2012,9,33.33,11.11,0.00,44.44,11.11,0.00
Punjab,January,2012,184,7.61,19.02,20.11,35.87,16.85,0.54
Rajasthan,January,2012,900,5.78,13.56,22.22,20.89,19.11,18.44
Tamil Nadu,January,2012,952,32.04,32.67,20.80,9.77,4.62,0.11
Tripura,January,2012,30,20.00,53.33,26.67,0.00,0.00,0.00
Uttar Pradesh,January,2012,796,11.06,46.86,25.63,13.69,2.76,0.00
Uttaranchal,January,2012,40,5.00,45.00,30.00,17.50,2.50,0.00
West Bengal,January,2012,781,7.43,50.70,28.55,12.16,1.15,0.00
Andhra Pradesh,May,2012,736,5.03,25.27,40.35,24.86,4.48,0.00
Arunachal Pradesh,May,2012,8,12.50,62.50,12.50,12.50,0.00,0.00
Assam,May,2012,210,12.38,59.05,25.24,3.33,0.00,0.00
Bihar,May,2012,279,0.36,45.88,50.90,2.87,0.00,0.00
Chandigarh,May,2012,13,0.00,23.08,30.77,23.08,7.69,15.38
Chhattisgarh,May,2012,360,1.67,21.67,61.39,14.72,0.56,0.00
Dadar-Nagar-Haveli,May,2012,5,0.00,40.00,40.00,20.00,0.00,0.00
Delhi,May,2012,128,0.00,28.13,25.78,25.00,10.94,10.16
Goa,May,2012,43,6.98,46.51,27.91,18.60,0.00,0.00
Gujarat,May,2012,787,3.56,18.42,35.07,29.48,11.94,1.52
Haryana,May,2012,195,4.62,19.49,17.95,31.79,22.05,4.10
Himachal Pradesh,May,2012,75,6.67,29.33,36.00,24.00,4.00,0.00
Jammu & Kashmir,May,2012,141,4.96,54.61,25.53,8.51,6.38,0.00
Jharkhand,May,2012,184,0.54,9.78,69.57,20.11,0.00,0.00
Karnataka,May,2012,891,6.29,20.99,42.76,29.74,0.22,0.00
Kerala,May,2012,640,8.44,30.47,41.25,18.13,1.56,0.16
Madhya Pradesh,May,2012,932,0.54,11.48,42.81,39.81,5.26,0.11
Maharashtra,May,2012,928,3.02,14.87,55.50,24.35,2.16,0.11
Manipur,May,2012,1,0.00,0.00,100.00,0.00,0.00,0.00
Meghalaya,May,2012,28,7.14,85.71,7.14,0.00,0.00,0.00
Odisha,May,2012,743,7.27,32.97,55.45,4.31,0.00,0.00
Pondicherry,May,2012,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,May,2012,174,4.60,16.67,27.59,29.89,21.26,0.00
Rajasthan,May,2012,856,1.87,8.53,23.48,26.75,21.50,17.87
Tamil Nadu,May,2012,914,4.81,31.84,36.87,18.38,7.33,0.77
Tripura,May,2012,27,11.11,59.26,29.63,0.00,0.00,0.00
